date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-02,323.54,324.89,322.53,324.87,295.21562084299745,59037072,0.0000,1.0
2020-01-03,321.16,323.64,321.1,322.41,292.98017150241884,77708081,0.0000,1.0
2020-01-06,320.49,323.73,320.36,323.64,294.0978961727081,55596982,0.0000,1.0
2020-01-07,323.02,323.54,322.24,322.73,293.27096166054287,40461249,0.0000,1.0
2020-01-08,322.94,325.78,322.67,324.45,294.8339587604596,68177241,0.0000,1.0
2020-01-09,326.16,326.73,325.52,326.65,296.8331410975624,48421935,0.0000,1.0
2020-01-10,327.29,327.46,325.2,325.71,295.978945008073,53028660,0.0000,1.0
2020-01-13,326.39,327.96,325.92,327.95,298.0144761149414,47026115,0.0000,1.0
2020-01-14,327.47,328.62,326.84,327.45,297.56011649287257,62784185,0.0000,1.0
2020-01-15,327.35,329.02,327.26,328.19,298.23256873353444,71870739,0.0000,1.0
2020-01-16,329.7,330.92,329.45,330.92,300.7133722700302,53788867,0.0000,1.0
2020-01-17,331.7,332.18,330.85,331.95,301.64935309149195,95778839,0.0000,1.0
2020-01-21,330.9,332.18,330.82,331.3,301.0586855828025,77624157,0.0000,1.0
2020-01-22,332.24,332.95,331.17,331.34,301.095034352568,48705035,0.0000,1.0
2020-01-23,330.63,332.17,329.41,331.72,301.44034766534037,51828259,0.0000,1.0
2020-01-24,332.44,332.53,327.36,328.77,298.75962589513426,87465785,0.0000,1.0
2020-01-27,323.03,325.12,322.66,323.5,293.97067547852885,83797934,0.0000,1.0
2020-01-28,325.06,327.85,323.6,326.89,297.0512337161555,63519891,0.0000,1.0
2020-01-29,328.38,328.63,326.4,326.62,296.8058795202383,53714641,0.0000,1.0
2020-01-30,324.36,327.91,323.54,327.68,297.7691219190242,75184385,0.0000,1.0
2020-01-31,327.0,327.17,320.73,321.73,292.36224241640525,113659402,0.0000,1.0
2020-02-03,323.35,326.16,323.22,324.12,294.5340814098942,68931216,0.0000,1.0
2020-02-04,328.07,330.01,327.72,329.06,299.0231544759342,61704740,0.0000,1.0
2020-02-05,332.27,333.09,330.67,332.86,302.4762876036572,64864742,0.0000,1.0
2020-02-06,333.91,334.19,332.8,333.98,303.4940531570914,49982975,0.0000,1.0
2020-02-07,332.82,333.99,331.6,332.2,301.8765329025264,64074382,0.0000,1.0
2020-02-10,331.23,334.75,331.19,334.68,304.1301566279878,41779456,0.0000,1.0
2020-02-11,336.16,337.02,334.68,335.26,304.65721378958756,54773045,0.0000,1.0
2020-02-12,336.83,337.65,336.43,337.42,306.62004735692494,42844434,0.0000,1.0
2020-02-13,335.86,338.12,335.56,337.06,306.2929084290354,54038002,0.0000,1.0
2020-02-14,337.51,337.73,336.2,337.6,306.7836168208697,64518123,0.0000,1.0
2020-02-18,336.51,337.67,335.21,336.73,305.9930310784699,57195407,0.0000,1.0
2020-02-19,337.79,339.08,337.48,338.34,307.45606906153154,48587393,0.0000,1.0
2020-02-20,337.74,338.64,333.68,336.95,306.1929493121802,73891268,0.0000,1.0
2020-02-21,335.47,335.81,332.58,333.48,303.0396935350226,113656552,0.0000,1.0
2020-02-24,323.14,333.56,321.24,322.42,292.9892586948602,160991237,0.0000,1.0
2020-02-25,323.94,324.61,311.69,312.65,284.11107167963536,217564684,0.0000,1.0
2020-02-26,314.18,318.11,310.7,311.5,283.0660445488771,192818004,0.0000,1.0
2020-02-27,305.46,311.56,297.51,297.51,270.3530623233914,282544492,0.0000,1.0
2020-02-28,288.7,297.89,285.54,296.26,269.21716326821934,384911854,0.0000,1.0
