date,source,status,detail,chain_date,expiration,dte,put_id,call_id,put_delta,call_delta,put_error,call_error,put_iv,call_iv,skew,skew_change,expiry_change,jump_with_expiry_change,put_bid,put_ask,put_spread,put_flags,call_bid,call_ask,call_spread,call_flags
2025-01-02,downloaded,usable_pair,,2025-01-02,2025-01-31,29,SPY250131P00569000,SPY250131C00602000,-0.25522,0.24963,0.005220000000000002,0.0003700000000000092,0.17097,0.13195,0.03902,,False,False,4.3,4.34,0.040000000000000036,none,2.93,2.97,0.040000000000000036,none
2025-01-03,downloaded,usable_pair,,2025-01-03,2025-01-31,28,SPY250131P00578000,SPY250131C00607000,-0.25186,0.24699,0.0018599999999999728,0.0030100000000000127,0.15146,0.11244,0.03902000000000001,1.3877787807814457e-17,False,False,3.98,4.02,0.03999999999999959,none,2.62,2.66,0.040000000000000036,none
2025-01-06,downloaded,usable_pair,,2025-01-06,2025-02-07,32,SPY250207P00580000,SPY250207C00612000,-0.24513,0.24279,0.004870000000000013,0.007209999999999994,0.15146,0.11244,0.03902000000000001,0.0,True,False,4.07,4.11,0.040000000000000036,none,2.95,2.98,0.029999999999999805,none
2025-01-07,downloaded,usable_pair,,2025-01-07,2025-02-07,31,SPY250207P00572000,SPY250207C00606000,-0.25019,0.26062,0.00019000000000002348,0.010620000000000018,0.17097,0.13195,0.03902,-1.3877787807814457e-17,False,False,4.39,4.43,0.040000000000000036,none,3.27,3.3,0.029999999999999805,none
2025-01-08,downloaded,usable_pair,,2025-01-08,2025-02-07,30,SPY250207P00573000,SPY250207C00606000,-0.24954,0.25162,0.0004599999999999882,0.0016200000000000103,0.17097,0.12219,0.04878000000000002,0.009760000000000019,False,False,4.38,4.5,0.1200000000000001,none,3.12,3.21,0.08999999999999986,none
2025-01-10,downloaded,usable_pair,,2025-01-10,2025-02-07,28,SPY250207P00563000,SPY250207C00598000,-0.25168,0.2569,0.0016800000000000148,0.006900000000000017,0.19048,0.1417,0.04878000000000002,0.0,False,False,4.59,4.64,0.04999999999999982,none,3.19,3.23,0.040000000000000036,none
2025-01-13,downloaded,usable_pair,,2025-01-13,2025-02-14,32,SPY250214P00564000,SPY250214C00601000,-0.25297,0.24851,0.0029699999999999727,0.0014899999999999913,0.18073,0.1417,0.03903000000000001,-0.009750000000000009,True,False,4.86,4.9,0.040000000000000036,none,3.34,3.37,0.03000000000000025,none
2025-01-14,downloaded,usable_pair,,2025-01-14,2025-02-14,31,SPY250214P00565000,SPY250214C00601000,-0.25296,0.25453,0.002960000000000018,0.0045299999999999785,0.18073,0.1417,0.03903000000000001,0.0,False,False,4.56,4.6,0.040000000000000036,none,3.52,3.55,0.029999999999999805,none
2025-01-15,downloaded,usable_pair,,2025-01-15,2025-02-14,30,SPY250214P00578000,SPY250214C00608000,-0.24662,0.25464,0.003379999999999994,0.0046399999999999775,0.15146,0.11244,0.03902000000000001,-9.999999999996123e-06,False,False,4.02,4.06,0.040000000000000036,none,3.06,3.09,0.029999999999999805,none
2025-01-16,downloaded,usable_pair,,2025-01-16,2025-02-14,29,SPY250214P00576000,SPY250214C00607000,-0.24573,0.24689,0.004269999999999996,0.0031100000000000017,0.16122,0.11244,0.048780000000000004,0.009759999999999991,False,False,4.01,4.05,0.040000000000000036,none,2.7,2.74,0.040000000000000036,none
2025-01-17,cached,usable_pair,,2025-01-17,2025-02-14,28,SPY250214P00583000,SPY250214C00612000,-0.24542,0.25997,0.004580000000000001,0.009969999999999979,0.15146,0.11244,0.03902000000000001,-0.009759999999999991,False,False,3.86,3.89,0.03000000000000025,none,3.02,3.05,0.029999999999999805,none
2025-01-21,downloaded,usable_pair,,2025-01-21,2025-02-21,31,SPY250221P00589000,SPY250221C00619000,-0.24808,0.25205,0.001920000000000005,0.0020499999999999963,0.1417,0.11244,0.029259999999999994,-0.009760000000000019,True,False,3.6,3.63,0.029999999999999805,none,2.67,2.7,0.03000000000000025,none
2025-01-22,downloaded,usable_pair,,2025-01-22,2025-02-21,30,SPY250221P00594000,SPY250221C00621000,-0.25434,0.25132,0.0043400000000000105,0.0013199999999999878,0.13195,0.10268,0.029270000000000018,1.0000000000023879e-05,False,False,3.75,3.77,0.020000000000000018,none,2.82,2.84,0.020000000000000018,none
2025-01-23,downloaded,usable_pair,,2025-01-23,2025-02-21,29,SPY250221P00596000,SPY250221C00624000,-0.24916,0.25308,0.0008400000000000074,0.003080000000000027,0.1417,0.10268,0.03902,0.009749999999999981,False,False,3.43,3.46,0.029999999999999805,none,2.63,2.66,0.03000000000000025,none
2025-01-24,downloaded,usable_pair,,2025-01-24,2025-02-21,28,SPY250221P00595000,SPY250221C00622000,-0.25665,0.25105,0.006649999999999989,0.0010499999999999954,0.1417,0.10268,0.03902,0.0,False,False,3.5,3.51,0.009999999999999787,none,2.46,2.49,0.03000000000000025,none
2025-01-27,downloaded,usable_pair,,2025-01-27,2025-02-28,32,SPY250228P00582000,SPY250228C00617000,-0.24786,0.24881,0.002140000000000003,0.0011899999999999966,0.17097,0.12219,0.04878000000000002,0.009760000000000019,True,False,4.36,4.4,0.040000000000000036,none,3.19,3.23,0.040000000000000036,none
2025-01-28,downloaded,usable_pair,,2025-01-28,2025-02-28,31,SPY250228P00588000,SPY250228C00621000,-0.24462,0.2444,0.005379999999999996,0.005599999999999994,0.16122,0.11244,0.048780000000000004,-1.3877787807814457e-17,False,False,4.03,4.06,0.02999999999999936,none,2.79,2.81,0.020000000000000018,none
2025-01-29,downloaded,usable_pair,,2025-01-29,2025-02-28,30,SPY250228P00586000,SPY250228C00618000,-0.24949,0.24289,0.0005100000000000104,0.007110000000000005,0.16122,0.11244,0.048780000000000004,0.0,False,False,3.86,4.22,0.3599999999999999,none,2.72,3.02,0.2999999999999998,none
